2015	1	1	0	0	0
46
#
#name	mass	radius	x	y	z	vx	vy	vz
#    	Gg	km	AU	AU	AU	AU/d	AU/d	AU/d
Sun	1.988544e+24	6.95500e+05	2.841029214124732e-03	-8.551488389783957e-04	-1.372196345812671e-04	3.974748627511211e-06	5.236981821791106e-06	-9.741909867990456e-08
Mercury	3.302000e+17	2.44000e+03	3.401540875319301e-01	-2.044550792740463e-01	-4.772012105321857e-02	9.021681472868817e-03	2.538170267716257e-02	1.246034824741292e-03
Venus	4.868500e+17	6.05180e+03	5.524983482189795e-01	-4.769264575796522e-01	-3.838223296316453e-02	1.311677229809423e-02	1.521762020859779e-02	-5.483300582296660e-04
Earth	5.972190e+18	6.37101e+03	-1.683241372257412e-01	9.674441923084423e-01	-1.669835242727353e-04	-1.721229158666165e-02	-3.058878865396910e-03	5.766702178394791e-07
Moon	7.349000e+16	1.73753e+03	-1.666917632267577e-01	9.694171153182533e-01	-2.967360187374638e-04	-1.765367898249836e-02	-2.666960413187399e-03	-4.287897546613819e-05
Mars	6.418500e+17	3.38990e+03	1.358690797965978e+00	-2.758171771328441e-01	-3.917699408597988e-02	3.322799764204666e-03	1.491641367405062e-02	2.308785778904992e-04
Phobos	1.065900e+10	1.12667e+01	1.358635350713113e+00	-2.758307834410804e-01	-3.915077839676487e-02	3.539648492457553e-03	1.372160413729124e-02	2.540965340236050e-05
Deimos	1.476200e+09	6.20000e+00	1.358558895152408e+00	-2.757663032203445e-01	-3.910908720823170e-02	3.066195230248505e-03	1.418142035757801e-02	2.833646442697586e-04
Ceres	9.390000e+14	4.69000e+02	-3.857657805863615e-01	-2.796121279607017e+00	-1.631113325556039e-02	9.747298922824813e-03	-2.088005448193249e-03	-1.862199855412896e-03
Jupiter	1.898130e+21	6.99110e+04	-3.726726759399367e+00	3.793259984479633e+00	6.756037675327997e-02	-5.472628385732627e-03	-4.932423699304493e-03	1.429822143934272e-04
Metis	3.600000e+10	4.00000e+01	-3.727481228502933e+00	3.792858385369582e+00	6.753514159721317e-02	3.110319872954287e-03	-2.102444052038166e-02	-3.093839238487357e-04
Adrastea	2.000000e+09	1.60000e+01	-3.726635863428297e+00	3.792403167052139e+00	6.753112791132757e-02	1.258784387770671e-02	-3.024625270857500e-03	4.716708123021205e-04
Amalthea	2.080000e+12	1.46000e+02	-3.726299259401138e+00	3.794395874874434e+00	6.760604202044682e-02	-1.977115385555036e-02	4.063163546315351e-04	2.591771303462528e-05
